Title,Artist,Genre,Release,Rating
Victory: Music of the Bolder Boulder [CD],Steve Haun,New Age,05/19/1992,
Cello & Piano Sanctuary [CD],Merrill Collins,New Age,04/21/2017,
Silver Ship [CD],Suzanne Ciani,New Age,06/14/2005,
Ham Hocks & Gravy [CD],Steve Cheseborough,New Age,06/21/2005,
Reflections on Still Water [CD],Acoustic Ocean,Folk,06/30/2010,
Sounds of the Season [CD],Aryeh Frankfurter,World,06/10/08,
Oxygène [LP] - VINYL,Jean Michel Jarre,Avant-Garde,10/23/2015,
"The Best of Silver Wave, Vol. 3: The Stars [CD]",Various Artists,New Age,11/23/1994,
Guided Meditations: Fill What Is Empty; Empty What Is Full [CD],Davidji,New Age,11/23/2009,
Breathing [CD],Craig Kohland,New Age,01/07/03,
Sacred Temples of India [CD],Chinmaya Dunster,New Age,09/03/02,
Surrender [CD],Jeff Oster,New Age,08/16/2011,
Highland Cathedral [CD],Phil Coulter,Easy Listening,02/22/2000,
Egyptian Moon [CD],Ross Aubrey,New Age,08/25/2009,
New Jazz on Campus [CD],Paul Winter,New Age,01/30/2001,
A Tribute to Enya [Big Eye] [CD],Various Artists,New Age,07/23/2002,
Winds of the Heart [CD],Gentle Thunder,New Age,06/25/2004,
Unforgettable Love Songs [CD],Stan Whitmire,New Age,07/31/2012,
Dare to Dream [CD],Yanni,New Age,04/29/2008,
Simple Pleasures [CD],Michael Hoppé,New Age,10/02/15,
Nature Sound Series: Tropical Ocean Surf [Nature Sounds Only Version] [CD],Various Artists,New Age,04/26/2007,
Ukulele Soup [CD],Biff Moss,New Age,11/20/2007,
Left of Blue [CD],Dave Eggar,New Age,08/09/05,
"Soul Adventures, Vol. 1: A Journey Through Music to Healing and Relaxation [CD]",Rasa Living Wellness,New Age,03/04/08,
From Nashville to Memphis: The Essential 60's Masters [CD],Elvis Presley,Country,11/08/10,5
Sheffield Steel [CD],Joe Cocker,Pop,02/01/11,5
If You Can Believe Your Eyes and Ears [CD],The Mamas & the Papas,Pop,10/24/2011,5
Very Best of Timi Yuro [CD],Timi Yuro,R&B Soul,07/03/06,5
Handful of Rain [CD],Savatage,Pop,12/05/11,5
Purpose [LP] - VINYL,Justin Bieber,Pop,11/13/2015,4.2
Traveling Alone [LP] - VINYL,Tift Merritt,Country,09/17/2013,4
Tooth & Nail [Remastered] [Deluxe] [CD],Dokken,Pop,01/28/2014,5
Highway 61 Revisited [LP] - VINYL,Bob Dylan,Folk,04/15/2014,5
SACREDWARPATH [CD],Sodom,Pop,01/20/2015,5
Vices & Virtues [LP] - VINYL,Panic! At the Disco,Pop,11/04/16,5
Saintmotelevision [CD],Saint Motel,Pop,10/21/2016,5
In the Lonely Hour [Drowning Shadows Edition] [LP] - VINYL,Sam Smith,Pop,01/15/2016,5
On Your Feet [Original Broadway Cast Recording] [CD],Original Broadway Cast,Pop,04/29/2016,5
L7: Pretend We're Dead [Video] [Blu-Ray Disc],,,10/27/2017,5
Pearl Jam [LP] - VINYL,Pearl Jam,Pop,11/10/17,5
Core [25th Anniversary Super Deluxe Edition] [4 CD/1 DVD/1 LP] [CD & DVD],Stone Temple Pilots,Pop,09/29/2017,5
The Punishment of Luxury: B Sides & Bonus Material [CD],Orchestral Manoeuvres in the Dark,Pop,12/22/2017,5
Froot [CD],Marina and the Diamonds,Pop,03/16/2015,4.9
Peace Sells...But Who's Buying? [25th Anniversary Special Edition] [CD],Megadeth,Pop,07/12/11,5
Abracadabra [CD],Steve Miller,Pop,10/25/1990,5
Your Little Secret [CD],Melissa Etheridge,Pop,11/14/1995,5
Greatest Hits (And More) [CD],Dr. Hook,Pop,10/25/1990,5
"Greatest Hits, Vols. 1 & 2 (1973-1985) [Bonus CD-ROM Track] [CD]",Billy Joel,Pop,10/20/1998,5
Bleed American [CD],Jimmy Eat World,Pop,07/24/2001,5
Pure Fiction [CD],Eric Hutchinson,Pop,04/08/14,5
Buddha and the Chocolate Box [CD],Cat Stevens,Pop,07/25/2000,4
20th Century Masters - The Millennium Collection [CD],Steppenwolf,Pop,04/20/1999,4
"Buffett Live: Tuesdays, Thursdays, Saturdays [CD]",Jimmy Buffett,Pop,11/09/99,4
The Big Chill [Original Soundtrack] [CD],Original Soundtrack,Soundtracks & Shows,09/22/1998,5
American Pie [Bonus Tracks] [CD],Don McLean,Pop,06/24/2003,5
So [25th Anniversary Edition] [CD],Peter Gabriel,Pop,10/22/2012,5
Songs for the End of the World [CD],Rick Springfield,Pop,10/09/12,5
The Fame Monster [Deluxe Edition] [CD],Lady Gaga,Pop,11/23/2009,4.7
"The Singles Collection: A's & B's, 1964-1969 [CD]",The Zombies,Pop,03/14/2000,
Defying Gravity [CD],Mr. Big,Pop,07/21/2017,3
Wings at the Speed of Sound [Bonus Tracks] [CD],Paul McCartney,Pop,11/04/14,5
 Eight [CD],Little Caesar,Pop,03/16/2018,
Black Widow [CD],In This Moment,Pop,11/17/2014,4.6
Bob Dylan [CD],Bob Dylan,Folk,06/21/2005,4
Toto IV [CD],Toto,Pop,02/01/08,5
The Christmas Collection [CD],Amy Grant,Gospel & Christian,09/30/2008,5
VH1 Behind the Music: The Daryl Hall and John Oates Collection [CD],Daryl Hall & John Oates,R&B Soul,03/19/2002,5
20 Greatest Hits [CD],B.J. Thomas,Country,02/15/2013,5
"Greatest Hits, Vol. 3 [CD]",Billy Joel,Pop,08/19/1997,5
Closer [CD],Joy Division,Pop,01/13/2008,3
Veneer [LP] - VINYL,José González,Pop,10/22/2012,5
Crystal Bowls Chakra Chants [CD],Jonathan Goldman,New Age,03/09/10,
Noel [CD],Doug Hammer,New Age,11/13/2008,
The Sounds of Nature: Great Masters [CD],Various Artists,New Age,09/25/2007,
Ojas [CD],Dave Stringer,New Age,02/19/2013,
Soundspace Alpha [CD],Manuel De Lizarriturri,New Age,10/16/2013,
Breakfast in the Field [CD],Michael Hedges,New Age,10/25/1990,
Keepin' It Breezy [CD] [PA],Mind over Matter,New Age,06/10/08,
New Orleans Guitar Solos [CD],Steve Hancoff,Jazz,03/16/2004,
Bora Bora 2000 [CD],Iasos,New Age,01/04/00,
Memory of Trees [LP] - VINYL,Enya,New Age,11/11/16,
Gentle River [CD],Awankana,New Age,12/01/91,
Travellers Tales from Antarctica [CD],David & Phil Massey,New Age,11/04/16,
Country & Western [CD],New Star Orchestra,New Age,08/15/2006,
~ [CD],Odi Me,New Age,11/04/16,
Self-Confidence in a Box [CD],Annie Lawler,New Age,03/04/08,
Cafe Arabia [CD],Various Artists,New Age,05/22/2017,
The Definitive Collection [CD],Kitaro,New Age,11/06/07,
Praise My Soul [CD],The Amen Singers,Gospel & Christian,03/13/2007,
Salva Nos (Save Us) [CD],Mediæval Bæbes,Classical,09/25/2007,
Bella Naturaleza [CD],Alex Antonelli,Latin,03/10/08,
Naturgeräusche zur Entspannung Meeresrauschen ohne Musik [CD],Rettenmaier,New Age,08/01/13,
Geschenk des Augenblicks (Gift of the Moment) [LP] - VINYL,Hans-Joachim Roedelius,New Age,02/01/11,
Sounds of the Earth: Calm Ocean [CD],Sounds Of The Earth,New Age,06/10/08,
Arakara [CD],Turiya Nada,New Age,10/08/13,
Dhyana - Guided Meditations [CD],Chandra Om,New Age,06/11/10,
Beyond the Sky [CD],Chris Glassfield,New Age,11/04/16,
Sounds of Silence [Bonus Tracks] [CD],Simon & Garfunkel,Folk,03/25/2008,5
Stuff Like That There [CD],Yo La Tengo,Pop,08/28/2015,5
All Four One [CD],The Motels,Pop,03/27/2012,5
Little Robbers [CD],The Motels,Pop,03/27/2012,5
VHS [CD],X Ambassadors,Pop,06/30/2015,4
Sawdust [LP] - VINYL,The Killers,Pop,12/15/2017,
Middle of Everywhere: The Greatest Hits [CD],Hanson,Pop,09/08/17,5
Shock [CD],The Motels,Pop,10/30/2012,3
Elvis' Golden Records [CD],Elvis Presley,Pop,05/26/2015,
Dua Lipa [LP] [PA],Dua Lipa,Pop,07/28/2017,4
Encore [Bonus Tracks] [CD],Lionel Richie,R&B Soul,01/07/03,
Playlist: The Very Best of the Turtles [CD],The Turtles,Pop,05/27/2016,3.5
Eonian [CD],Dimmu Borgir,Pop,05/04/18,
Run with the Pack [CD],Issa,Pop,04/20/2018,
GodWeenSatan: Live [LP] - VINYL,Ween,Pop,11/18/2016,
The  Essential Boz Scaggs [CD],Boz Scaggs,R&B Soul,10/29/2013,
Blonde on Blonde [LP] - VINYL,Bob Dylan,Pop,11/01/02,
All Delighted People [LP] - VINYL,Sufjan Stevens,Pop,12/07/10,
Thoroughbred [CD],Carole King,Pop,03/01/91,
South American Assault: Live [CD],Paul Di'Anno,Pop,08/01/94,
The Ultimate Collection: Four Tops [CD],The Four Tops,R&B Soul,10/07/97,
The Best of T. Graham Brown [Liberty/Curb] [CD],T. Graham Brown,Country,03/04/97,
All Time Greatest Hits [CD],The Grass Roots,Pop,07/30/1996,
Victorialand [CD],Cocteau Twins,Pop,06/03/03,
Disney Theme Park Classics [CD],Various Artists,Soundtracks & Shows,01/20/2017,
Desire [Remastered] [CD],Bob Dylan,Pop,06/01/04,
Standard Songs for Average People [CD],John Prine,Folk,04/24/2007,
War of Attrition [CD],Dying Fetus,Pop,03/06/07,
The Complete Wooden Nickel Recordings [CD],Styx,Pop,02/15/2005,
In Sorte Diaboli [Limited Edition] [CD],Dimmu Borgir,Pop,04/24/2007,
No Pocky for Kitty [CD],Superchunk,Pop,08/17/2010,
'80s Gold [CD],Various Artists,R&B Soul,03/07/06,5
3 CD Collector's Set [CD],Rihanna,Pop,12/15/2009,
Borderlands [CD],Original Game Soundtrack,Soundtracks & Shows,12/08/09,
"Love, Peace and Harmony: The Best of Bow Wow Wow [CD]",Bow Wow Wow,Pop,04/01/08,
The Entertainer [CD & DVD],Donny Osmond,Vocal,05/04/10,
All of My Heart: ABC Collection [CD],ABC,Pop,10/05/10,
Sound & Vision Anthology [CD & DVD],Atlanta Rhythm Section,Pop,05/08/12,
Songbook [CD],Elaine Paige,Vocal,09/11/07,
Special Beat Service [Deluxe Edition] [CD & DVD],The English Beat,Pop,07/10/12,
Every Hour Is a Dollar Gone [CD],Patrick Sweany,Blues,06/12/07,
Celine Dion [CD],Céline Dion,Pop,04/29/2008,
Viva Las Vegas [CD],Elvis Presley,Soundtracks & Shows,01/26/2010,
X [CD],INXS,Pop,06/14/2011,
Post [CD],Björk,Electronic/Dance,04/20/2010,
Simply the Best [Import 1991] [CD],Tina Turner,R&B Soul,10/22/1991,
"Still The Orchestra Plays: Greatest Hits, Vol. 1 & Vol. 2 [2 CD] [CD]",Savatage,Pop,03/23/2010,
Timeless [CD],Michael Dulin,New Age,11/02/04,
The Dreams of Gaia [CD],Various Artists,New Age,09/19/2006,
"Best Of, Pt. 2 [CD]",G.E.N.E.,New Age,08/05/08,
Beyond Denial [CD],Axiom of Choice,New Age,06/18/1996,
Däfos [CD],Airto,Latin,05/30/2012,
Classics for Relaxation [CD],Various Artists,New Age,07/28/2017,
Luna Magistra [CD],Enam,New Age,05/08/07,
Back to the Garden [CD],Dean Evenson,New Age,07/15/1997,
Mayan Ancestral Music [CD],Xavier Quijas Yxayotl,World,01/01/05,
"Here at the Water's Edge, Vol. 1 [CD]",Various Artists,New Age,05/30/2012,
Night Birds [CD],Edward Gerhard,New Age,02/08/94,
"Day Parts: Party Music That Cooks, Vol. 2 [CD]",Chip Davis' Day Parts,New Age,05/07/96,
Heart to Heart [CD],Nadama,New Age,09/30/1995,
In a Dream [CD],Peter Kater,New Age,03/03/09,
"Romances for Alto Flute, Vol. 2: The Dreamer [Enhanced CD]",Michael Hoppé,Easy Listening,02/04/12,
Tales From the Ultra Tribe [CD],Byron Metcalf,Electronic/Dance,01/15/2013,
Between the Waters [CD],Willie & Lobo,New Age,08/29/1995,
Return of the Silkie [LP] - VINYL,Carol Kleyn,Folk,09/17/2013,
The Fall of a Rebel Angel [Bonus Track] [CD],Enigma,Electronic/Dance,11/18/2016,
Voices from the Water [CD],Jim Horn,New Age,10/08/12,
Durch die Wüste [CD],Hans-Joachim Roedelius,Electronic/Dance,08/18/2009,
Aroma Bath [CD],Angelina Shana,New Age,03/17/2011,
The Lost Chord [CD],Jonathan Goldman,New Age,11/02/04,
Kojiki [Bonus DVD] [CD],Kitaro,New Age,02/02/04,
Zen Garden [CD],Various Artists,World,11/11/14,
Arrested Amnesia [CD],Arrested Amnesia,Electronic/Dance,07/03/07,
Women of the World [CD],Jeanette Arsenault,New Age,10/24/2006,
Mahoroba [CD],Sojiro,New Age,12/15/2007,
Yoga Groove 2 [CD],Brent Lewis,New Age,12/27/2011,
Amistad [CD],Michael Hoppé,New Age,05/11/18,
Crises [LP] - VINYL,Mike Oldfield,New Age,09/10/13,
Live In Paris [CD],Pierre Bensusan,New Age,09/25/2012,
Classical Music for Sleep [CD],Various Artists,New Age,09/18/2001,
Wind Island Kaohagan [CD],Various Artists,New Age,07/04/01,
Tai Chi [ZYX] [CD],Various Artists,New Age,03/24/2015,
"Buddha Spirit, Vol. 2 [CD]",Anael & Bradfield,New Age,04/10/07,
"Sacred Music for Healing Hands, Vol. 2 [CD]",Richard Shulman,New Age,03/08/06,
Summer Piano Relaxing [CD],Various Artists,New Age,07/22/2014,
"Songs of the Spirit, Vol. 3 [CD]",Karen Drucker,New Age,03/21/2006,
Innocence [CD],Ken Davis,New Age,11/08/05,
Under Lock & Key [Remastered] [Deluxe] [CD],Dokken,Pop,01/28/2014,
Fashion Nugget [CD],Cake,Pop,02/05/01,
The First Four Albums & More! [CD],The Lettermen,Pop,04/15/2014,
Bloodsuckers [CD],VAMPS,Pop,03/23/2015,
Elvis Unplugged: Versions You Have Never Heard! [CD],Elvis Presley,Pop,12/09/16,
Playlist: The Very Best of Ace of Base [CD],Ace of Base,Electronic/Dance,01/25/2011,
Equinox [LP] - VINYL,Styx,Pop,07/17/2015,
Sweeter [CD],Gavin DeGraw,Pop,05/26/2015,
My Third Album/Songs About Ladies & Love [CD],Johnny Rodriguez,Country,03/18/2016,
Belfry [CD],Messa,Pop,07/08/16,
Good Karma [Limited Edition Orange Vinyl] [LP] - VINYL,Roxette,Pop,06/10/16,
Afterlife [Expanded Edition] [CD],Blackthorne,Pop,09/09/16,
Fear Beyond Lunacy [CD],Hatchet,Pop,10/30/2015,
Wiggles Nursery Rhymes [CD],The Wiggles,Pop,03/17/2017,
Live: Bonnie on Tour [Video] [DVD],,,01/19/2018,
New Flesh [CD],Priest,Pop,12/08/17,
Beast Remains [CD],Freedom Hawk,Pop,03/23/2018,
Help Me Rhonda [CD],Johnny Rivers,Pop,07/21/2017,
The  Dark Element [CD],The Dark Element,Pop,11/10/17,
Streets: A Rock Opera [CD & DVD],Savatage,Pop,10/08/13,
Saxophone Colossus [Video] [Blu-Ray Disc],,,08/04/17,
No Grave but the Sea [Deluxe Edition] [CD],Alestorm,Pop,05/26/2017,
 Coma of Souls [LP] - VINYL,Kreator,Pop,02/23/2018,
Cardington [CD],Lifesigns,Pop,09/22/2017,
The Punishment of Luxury [CD & DVD],Orchestral Manoeuvres in the Dark,Pop,09/01/17,
"Buried Treasure, Vol. 1 [Deluxe Edition] [CD/DVD] [CD & DVD]",Jimmy Buffett,Pop,11/17/2017,
Broken Machine [LP] - VINYL,Nothing But Thieves,Pop,09/08/17,
God Damn Evil [LP] - VINYL,Stryper,Gospel & Christian,04/20/2018,
You're Driving Me Crazy [LP] - VINYL,Joey DeFrancesco,Pop,04/27/2018,
1992: The Broadcasts [LP] - VINYL,Pearl Jam,Pop,06/18/2012,5
Fearless [CD],Gus G.,Pop,04/20/2018,
Nuevos Senderos [CD],Olga Tañón,Latin,04/16/1996,
The Greatest Hits: The Power of Great Music [CD],James Ingram,R&B Soul,09/24/1991,
Sweet Caroline [CD],Neil Diamond,Pop,10/25/1990,
Martika [CD],Martika,R&B Soul,10/25/1990,
Rechordings [CD],David Foster,Easy Listening,09/17/1991,
Very Best of Sarah Brightman: 1990-2000 [CD],Sarah Brightman,Pop,07/10/01,
Classics: The Best of Sarah Brightman [CD],Sarah Brightman,Vocal,11/20/2001,
The Essential Meat Loaf [CD],Meat Loaf,Pop,09/13/2011,
Songs from Ally McBeal [CD],Vonda Shepard,Soundtracks & Shows,05/05/98,
Yes I Am [CD],Melissa Etheridge,Pop,09/21/1993,5
Icon [CD],The Village People,Pop,06/03/14,
After Hours [CD],Raul Malo,Country,07/17/2007,
Earth Is Not A Cold Dead Place [LP] - VINYL,Explosions in the Sky,Pop,11/04/03,
Comeback Cadillac [CD],The Weeks,Pop,07/08/08,
Timeless [CD],Sarah Brightman,Vocal,09/29/1998,
"Parsley, Sage, Rosemary and Thyme [CD]",Simon & Garfunkel,Folk,08/21/2001,
Meditation and Visualisation [CD],Mind Body & Soul,New Age,08/28/2001,
Meditation of the Soul [CD],Snatam Kaur,New Age,08/07/15,
Music in the Wind [CD],Carmon Moon,New Age,02/26/2007,
Healing Chakras [CD],Andy Bramhill,New Age,09/17/2012,
The Happy Error [CD],Michael Santos,Electronic/Dance,03/02/10,
Dawn [CD],Kolacny Brothers,New Age,11/26/2010,
Piano Poems [CD],Tron Syversen,New Age,01/11/11,
Mountains [CD],Thom Brennan,New Age,07/29/2005,
Cures for St. Valentine's Blues [CD],David Belmont,New Age,09/28/1999,
The Sound of Paul Horn/Profile of a Jazz Musician [CD],Paul Horn,New Age,01/21/2003,
A Woman's Chant [CD],Freeana,New Age,03/08/05,
Sacred Road [CD],David Lanz,New Age,04/23/1996,
Music of the Spheres [Bonus CD] [CD],Mike Oldfield,New Age,11/17/2008,
Can't Go Back [CD],Lisa Novak,New Age,02/20/2012,
Devotion [CD],Anaya,New Age,11/13/2015,
"Absolutely Gospel, Vol. 3 [CD]",Various Artists,Gospel & Christian,04/06/04,
Marion Maerz [CD],Marion Maerz,New Age,06/30/2015,
Secret Voyage [CD],Blackmore's Night,New Age,07/04/14,
Morning Sadhana with Giani Ji [CD],Gyani Ji,New Age,06/05/12,
"Cafe del Mar: Classic, Vol. 3 [CD]",Café del Mar,Electronic/Dance,03/27/2007,
Meditation [Unknown Label 2015] [CD],Various Artists,New Age,07/10/15,
This Little Light [CD],Matthew Schildt,New Age,04/21/2017,
"Black and White, Vol. 2 [CD]",Danny Wright,New Age,10/16/2012,
Peaceful Being [CD],Richard Noll,New Age,11/17/2017,
My Way: Very Best of Paul Anka [CD],Paul Anka,Pop,04/11/06,
The Greatest Hits [Commercial] [CD],Gladys Knight,R&B Soul,08/09/03,
Singles [CD],Screaming Females,Pop,02/09/10,
Manilow Sings Sinatra [CD],Barry Manilow,Pop,08/04/09,
Sonic Boom [CD & DVD],Kiss,Pop,04/06/10,
"Wednesday Morning, 3 AM [Bonus Tracks] [CD]",Simon & Garfunkel,Folk,04/29/2008,
Unknown Pleasures [CD],Joy Division,Pop,01/13/2008,
De Mysteriis Dom Sathanas [LP] - VINYL,Mayhem,Pop,03/26/2004,
'80s Summer Album [CD],Various Artists,Pop,07/22/2016,5
I Am Shelby Lynne [CD],Shelby Lynne,Country,04/07/15,
Pet Sounds [LP] - VINYL,The Beach Boys,Pop,02/17/2015,
Eclipse [CD],Journey,Pop,06/07/11,
Long Run [LP] [OGV],Eagles,Pop,02/24/2015,
Live at Rockpalast 1978 [CD & DVD],Alvin Lee,Pop,06/11/13,
Unify [CD],World Trade,Pop,08/04/17,
Live at the Checkerboard Lounge [CD],Buddy Guy,Blues,05/20/2016,
No Spare Planet [CD],Esquire,Pop,11/11/16,
Cosmic Explorer [LP] - VINYL,Perfume,Electronic/Dance,08/26/2016,
The Very Best of Fleetwood Mac [Rhino] [CD],Fleetwood Mac,Pop,10/27/2009,
Spells [CD],Ben Lukas Boysen,Pop,06/10/16,
Jamie Lawson [CD],Jamie Lawson,Pop,10/16/2015,
Purification by Sound [CD],Oliver Wakeman,New Age,08/05/03,
The Driven Bow [CD],Alasdair Fraser,Folk,05/21/1996,
Cosmic Consciousness: Paul Horn in Kashmir & India [CD],Paul Horn,New Age,06/11/13,
Global Journey: Celtic Rhythms [CD],Global Journey,World,03/08/11,
"Healing Series, Vol. 5: Cloud Hands [CD]",Peter Kater,New Age,03/03/09,
Relax Yourself: Relaxation & Serenity Music [CD],Various Artists,New Age,03/10/17,
One Track Heart [CD],Krishna Das,World,08/20/2013,
"Guitar Renaissance, Vol. 2 [CD]",Kazumi Watanabe,Jazz,03/25/2016,
Pinnacles [2005] [CD],Edgar Froese,Electronic/Dance,04/25/2006,
Ambient 2: The Plateaux of Mirror [CD],Harold Budd,Avant-Garde,04/21/2015,
Golden Flower Meditation Series 3: Dot Meditation [CD],Various Artists,New Age,12/30/2013,
Chamber Music [CD & DVD],Sejane & Grasis,New Age,06/09/15,
Saprema [CD],Karen Johns,New Age,02/18/2010,
All You Need [CD],Arthur Dobrucki,New Age,05/05/09,
Nolwenn Leroy [CD],Nolwenn Leroy,New Age,10/12/10,
Music for Yoga Practice: Morning & Evening [CD],Roop Verma,New Age,08/20/2003,
While the Trees Sleep [CD],David Nevue,New Age,06/03/03,
Golden Bowls of Compassion [CD],Karma Moffett,New Age,12/11/07,
Delta Sleep Solution: Sleepy Rain [CD],Jeffrey D. Thompson,New Age,06/05/07,
Qi Gong [CD & DVD],Canda,New Age,03/11/16,
Heavens Open [CD],Mike Oldfield,New Age,07/31/2000,
Embrace the Spirit [CD],Nawal,World,09/13/2011,
Gulf Coast Blues & Impressions: A Hurricane Relief Benefit [CD],George Winston,New Age,10/04/06,
Between Two Worlds [CD],Daniel Paul,New Age,05/10/05,
Pres De Paris [CD],Pierre Bensusan,New Age,08/07/12,
Ano Natsu No Naka/Ai No Sanka [CD],Sophia,New Age,07/06/05,
"The Lord of the Rings, Vol. 2 [CD]",John Sangster,Jazz,03/08/11,
Bootstrap Physics [CD],Timothy Vajda,New Age,09/18/2012,
Volume 1: Sound Magic [CD],Afro Celt Sound System,New Age,09/23/2008,
Image 10 Emotional & Relaxing [CD],Various Artists,New Age,02/02/10,
Global Village [CD],Karunesh,New Age,04/11/06,
Spa Series: Serenity [CD],Various Artists,New Age,04/24/2012,
Tarot: Music for Readings [CD],Gene Newton,Electronic/Dance,05/23/2003,
Then Sings My Soul [CD],Jenny Oaks Baker,Classical,01/26/2010,
Hdcd Sampler [CD],Various Artists,New Age,03/22/1994,
Mantram [CD],Steve Roach,New Age,09/14/2004,
Mirror of Truth [CD],Clara Ponty,New Age,11/06/09,
Richard Clayderman [CD],Richard Clayderman,Easy Listening,09/22/2009,
"Land, Sea and Sky [CD]",Spiral Ascention,New Age,01/01/13,
Pearl Moon: Music For the Inner Spirit [CD],Xavier Quijas Yxayotl,New Age,03/21/1999,
Love & Peace [CD],Lisa Lynne Franco,World,06/03/08,
Lightness of Being [CD],Sat-Kartar Kaur Khalsa,New Age,10/11/12,
"Spirit of Light, Vol. 2 [CD]",David Wright,Easy Listening,12/06/11,
Spiral [Remastered] [CD],Vangelis,Electronic/Dance,12/03/13,
Awakening to the Reality That You Are Never Alone [CD],Dr. Silke,New Age,07/20/2004,
Sacred: A Spiritual Journey [CD],Irish Tenors,Vocal,09/13/2005,
Pyramid [CD],Alan Parsons,Pop,01/27/2009,
Incomparable [CD],Dead by April,Pop,09/27/2011,
The Ghosts of Pripyat [CD],Steve Rothery,Pop,02/10/15,
Days of Purgatory [2016 Reissue] [3 LP] [LP] - VINYL,Iced Earth,Pop,02/12/16,
 The Old Guys [CD],Amy Rigby,Pop,02/23/2018,
Papa Blues [CD],Papa John Creach,Blues,03/04/94,
Conquering Dystopia [LP] - VINYL,Conquering Dystopia,Pop,07/08/14,
Chicago III [CD],Chicago,Pop,07/16/2002,
Formulas Fatal to the Flesh [CD],Morbid Angel,Pop,01/13/2008,
Drive [CD],Michael Reno Harrell,Pop,10/05/06,
"Smoke, No Fire [CD]",Leni Stern,Pop,11/19/2012,
Closer Home [CD],Michael Reno Harrell,Folk,10/05/06,
Metanoia [CD],For All Eternity,Pop,07/10/15,
"Kid Rock Southern Rock Tribute, Vol. 2 [CD]",Various Artists,Pop,10/27/2017,
Ghost in the Ruins: A Tribute to Chris Oliva [CD],Savatage,Pop,12/05/11,
Wake Up You! Vol. 1 : The Rise & Fall of Nigerian Rock Music 1972-1977 [CD],Various Artists,Pop,04/15/2016,
"Wanna Party!, Vol. 2 [CD]",Various Artists,Pop,03/23/2018,
25 Hits from the British Invasion [CD],Various Artists,Easy Listening,07/16/2002,
Obituary [Bonus Track] [CD],Obituary,Pop,03/17/2017,4.9
We the People [CD],Adrenaline Mob,Pop,06/02/17,4.9
From the Vault: Sticky Fingers Live at the Fonda Theater 2015 [CD & DVD],The Rolling Stones,Pop,09/29/2017,5
Dirt [CD],Alice in Chains,Pop,09/29/1992,4.8
Beautiful Trauma [LP] - VINYL,P!nk,Pop,10/13/2017,5
Walk Between Worlds [CD],Golaná,New Age,08/27/2002,
Fever Dreams [CD],Steve Roach,New Age,04/06/04,
Toys in the Attic [CD],Aerosmith,Pop,09/07/93,5
Prisoner [CD],Ryan Adams,Pop,02/17/2017,4.5
Harry Styles [Limited Edition] [Hardcover Book] [CD],Harry Styles,Pop,05/12/17,4.7
All Over the World: The Very Best of Electric Light Orchestra [LP] - VINYL,Electric Light Orchestra,Pop,09/30/2016,4.5
Life Starts Now [CD],Three Days Grace,Pop,09/22/2009,4.8
The Very Best of Frankie Valli & the Four Seasons [Rhino 2002] [CD],Frankie Valli & the Four Seasons,Pop,01/14/2003,4.9
AM [LP] - VINYL,Arctic Monkeys,Pop,09/10/13,4.7
"All Your Fault, Pt. 1 [CD] [PA]",Bebe Rexha,Pop,03/31/2017,4.5
We Are the Ones [CD],Dee Snider,Pop,10/28/2016,4.3
Every Open Eye [Only @ Best Buy] [CD],Chvrches,Pop,09/11/15,4.6
Turn It on Again: The Hits [CD],Genesis,Pop,03/27/2007,4.5
Black & White Night [CD/DVD] [CD & DVD],Roy Orbison,Pop,02/24/2017,4.9
Alice in Chains [CD],Alice in Chains,Pop,11/07/95,5
A Rush of Blood to the Head [LP] - VINYL,Coldplay,Pop,09/02/08,4.8
Killer Elite [CD & DVD],DragonForce,Pop,07/22/2016,4.2
Low in High School [CD],Morrissey,Pop,11/17/2017,3.7
River [LP] - VINYL,Bruce Springsteen,Pop,06/16/2015,5
So Good [CD] [PA],Zara Larsson,Electronic/Dance,03/17/2017,4.7
Rage Against the Machine XX [20th Anniversary Edition] [CD] [PA],Rage Against the Machine,Pop,11/27/2012,4.8
MTV Unplugged [CD],Alice in Chains,Pop,07/30/1996,4.7
Hail the Apocalypse [CD],Avatar,Pop,05/13/2014,4.8
The Immaculate Collection [CD],Madonna,Electronic/Dance,12/08/90,4.7
Nine Track Mind [Deluxe] [CD],Charlie Puth,Pop,12/09/16,4.5
The Very Best of Christopher Cross [CD],Christopher Cross,Pop,03/05/02,4.7
Americana [CD],Ray Davies,Pop,04/21/2017,4.3
Fever You Can't Sweat Out [LP] - VINYL,Panic! At the Disco,Pop,05/12/17,5
Precious Memories Collection [CD],Alan Jackson,Country,06/16/2017,5
Blue & Lonesome [LP] - VINYL,The Rolling Stones,Pop,12/02/16,5
Dirty Dancing [Original Motion Picture Soundtrack] [LP] - VINYL,Original Soundtrack,Soundtracks & Shows,11/13/2015,4.5
The Complete Greatest Hits [CD],Eagles,Pop,01/13/2008,5
Sunlit Youth [CD],Local Natives,Pop,09/09/16,4.5
Live at Pompeii [Video] [DVD],,,09/29/2017,4.5
Nirvana [CD],Nirvana,Pop,10/29/2002,4.8
Big Whiskey & the GrooGrux King [LP] - VINYL,Dave Matthews,Pop,06/02/09,4.7
"20th Century Masters - The Millennium Collection: The Best of Marvin Gaye, Vol. 2 [CD]",Marvin Gaye,R&B Soul,01/11/00,4.9
Third Eye Blind [20th Anniversary Reissue] [2CD] [CD],Third Eye Blind,Pop,06/09/17,5
